episode,total_reward,total_time_steps,num_agents,n_packages,max_steps,map,lr_actor,lr_critic
1,-2.789999999999999,100,5,20,1000,map3.txt,0.0001,0.001
2,-2.5199999999999996,100,5,20,1000,map3.txt,0.0001,0.001
3,-2.9099999999999984,100,5,20,1000,map3.txt,0.0001,0.001
4,-2.9599999999999986,100,5,20,1000,map3.txt,0.0001,0.001
5,-2.6399999999999983,100,5,20,1000,map3.txt,0.0001,0.001
6,-2.8799999999999986,100,5,20,1000,map3.txt,0.0001,0.001
7,-3.1399999999999975,100,5,20,1000,map3.txt,0.0001,0.001
8,-2.599999999999999,100,5,20,1000,map3.txt,0.0001,0.001
9,-2.73,100,5,20,1000,map3.txt,0.0001,0.001
10,-2.8899999999999997,100,5,20,1000,map3.txt,0.0001,0.001
11,-2.75,100,5,20,1000,map3.txt,0.0001,0.001
12,-1.8900000000000021,100,5,20,1000,map3.txt,0.0001,0.001
13,6.970000000000013,100,5,20,1000,map3.txt,0.0001,0.001
14,-1.8300000000000018,100,5,20,1000,map3.txt,0.0001,0.001
15,-2.7099999999999973,100,5,20,1000,map3.txt,0.0001,0.001
16,-1.8600000000000019,100,5,20,1000,map3.txt,0.0001,0.001
17,-2.7199999999999993,100,5,20,1000,map3.txt,0.0001,0.001
18,-2.7999999999999994,100,5,20,1000,map3.txt,0.0001,0.001
19,-2.899999999999999,100,5,20,1000,map3.txt,0.0001,0.001
20,-1.9200000000000013,100,5,20,1000,map3.txt,0.0001,0.001
21,-1.8800000000000003,100,5,20,1000,map3.txt,0.0001,0.001
22,-3.1199999999999974,100,5,20,1000,map3.txt,0.0001,0.001
23,-2.8299999999999987,100,5,20,1000,map3.txt,0.0001,0.001
24,-2.8299999999999987,100,5,20,1000,map3.txt,0.0001,0.001
25,-2.9499999999999997,100,5,20,1000,map3.txt,0.0001,0.001
26,-2.5999999999999988,100,5,20,1000,map3.txt,0.0001,0.001
27,-1.8800000000000014,100,5,20,1000,map3.txt,0.0001,0.001
28,-2.999999999999998,100,5,20,1000,map3.txt,0.0001,0.001
29,-2.939999999999998,100,5,20,1000,map3.txt,0.0001,0.001
30,-2.6799999999999993,100,5,20,1000,map3.txt,0.0001,0.001
31,-2.869999999999998,100,5,20,1000,map3.txt,0.0001,0.001
32,-2.739999999999999,100,5,20,1000,map3.txt,0.0001,0.001
33,-3.0099999999999985,100,5,20,1000,map3.txt,0.0001,0.001
34,-2.569999999999999,100,5,20,1000,map3.txt,0.0001,0.001
35,-2.48,100,5,20,1000,map3.txt,0.0001,0.001
36,-2.679999999999998,100,5,20,1000,map3.txt,0.0001,0.001
37,-2.949999999999998,100,5,20,1000,map3.txt,0.0001,0.001
38,-3.0099999999999985,100,5,20,1000,map3.txt,0.0001,0.001
39,-2.85,100,5,20,1000,map3.txt,0.0001,0.001
40,6.9100000000000215,100,5,20,1000,map3.txt,0.0001,0.001
41,-2.859999999999998,100,5,20,1000,map3.txt,0.0001,0.001
42,-1.0200000000000014,100,5,20,1000,map3.txt,0.0001,0.001
43,-2.9099999999999984,100,5,20,1000,map3.txt,0.0001,0.001
44,-2.7899999999999983,100,5,20,1000,map3.txt,0.0001,0.001
45,-2.619999999999999,100,5,20,1000,map3.txt,0.0001,0.001
46,-3.0099999999999976,100,5,20,1000,map3.txt,0.0001,0.001
47,-2.6899999999999986,100,5,20,1000,map3.txt,0.0001,0.001
48,-1.9000000000000021,100,5,20,1000,map3.txt,0.0001,0.001
49,7.08000000000001,100,5,20,1000,map3.txt,0.0001,0.001
50,-1.9900000000000018,100,5,20,1000,map3.txt,0.0001,0.001
51,-2.9199999999999986,100,5,20,1000,map3.txt,0.0001,0.001
52,-2.8199999999999994,100,5,20,1000,map3.txt,0.0001,0.001
53,-1.830000000000002,100,5,20,1000,map3.txt,0.0001,0.001
54,7.160000000000012,100,5,20,1000,map3.txt,0.0001,0.001
55,-2.949999999999998,100,5,20,1000,map3.txt,0.0001,0.001
56,-2.8099999999999987,100,5,20,1000,map3.txt,0.0001,0.001
57,-2.4799999999999995,100,5,20,1000,map3.txt,0.0001,0.001
58,-2.639999999999999,100,5,20,1000,map3.txt,0.0001,0.001
59,-2.6699999999999986,100,5,20,1000,map3.txt,0.0001,0.001
60,-2.4200000000000004,100,5,20,1000,map3.txt,0.0001,0.001
61,-2.8499999999999988,100,5,20,1000,map3.txt,0.0001,0.001
