episode,total_reward,total_time_steps,num_agents,n_packages,max_steps,map,lr_actor,lr_critic
1,-3.2699999999999982,100,5,20,1000,map1.txt,0.0001,0.001
2,-1.050000000000002,100,5,20,1000,map1.txt,0.0001,0.001
3,-1.9600000000000022,100,5,20,1000,map1.txt,0.0001,0.001
4,-2.2000000000000015,100,5,20,1000,map1.txt,0.0001,0.001
5,-3.119999999999998,100,5,20,1000,map1.txt,0.0001,0.001
6,-1.9100000000000013,100,5,20,1000,map1.txt,0.0001,0.001
7,-0.44000000000000017,100,5,20,1000,map1.txt,0.0001,0.001
8,-0.14,100,5,20,1000,map1.txt,0.0001,0.001
9,-0.10999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
10,-0.05,100,5,20,1000,map1.txt,0.0001,0.001
11,-0.21,100,5,20,1000,map1.txt,0.0001,0.001
12,-0.05,100,5,20,1000,map1.txt,0.0001,0.001
13,-0.15,100,5,20,1000,map1.txt,0.0001,0.001
14,-0.14,100,5,20,1000,map1.txt,0.0001,0.001
15,-0.07,100,5,20,1000,map1.txt,0.0001,0.001
16,-0.03,100,5,20,1000,map1.txt,0.0001,0.001
17,-0.08,100,5,20,1000,map1.txt,0.0001,0.001
18,-0.1,100,5,20,1000,map1.txt,0.0001,0.001
19,-0.07,100,5,20,1000,map1.txt,0.0001,0.001
20,-0.01,100,5,20,1000,map1.txt,0.0001,0.001
21,-0.07999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
22,-0.07999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
23,-0.11000000000000001,100,5,20,1000,map1.txt,0.0001,0.001
24,-0.03,100,5,20,1000,map1.txt,0.0001,0.001
25,-0.03,100,5,20,1000,map1.txt,0.0001,0.001
26,-0.10999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
27,-0.11999999999999998,100,5,20,1000,map1.txt,0.0001,0.001
28,-0.09999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
29,-0.1,100,5,20,1000,map1.txt,0.0001,0.001
30,-0.11,100,5,20,1000,map1.txt,0.0001,0.001
31,-0.09,100,5,20,1000,map1.txt,0.0001,0.001
32,-0.1,100,5,20,1000,map1.txt,0.0001,0.001
33,-0.05,100,5,20,1000,map1.txt,0.0001,0.001
34,-0.12,100,5,20,1000,map1.txt,0.0001,0.001
35,-0.01,100,5,20,1000,map1.txt,0.0001,0.001
36,-0.13,100,5,20,1000,map1.txt,0.0001,0.001
37,-0.03,100,5,20,1000,map1.txt,0.0001,0.001
38,-0.10999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
39,-0.09,100,5,20,1000,map1.txt,0.0001,0.001
40,-0.07,100,5,20,1000,map1.txt,0.0001,0.001
41,-0.10999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
42,-0.05,100,5,20,1000,map1.txt,0.0001,0.001
43,-0.09,100,5,20,1000,map1.txt,0.0001,0.001
44,-0.13,100,5,20,1000,map1.txt,0.0001,0.001
45,-0.09,100,5,20,1000,map1.txt,0.0001,0.001
46,-0.09,100,5,20,1000,map1.txt,0.0001,0.001
47,-0.03,100,5,20,1000,map1.txt,0.0001,0.001
48,-0.13,100,5,20,1000,map1.txt,0.0001,0.001
49,-0.14,100,5,20,1000,map1.txt,0.0001,0.001
50,-0.15000000000000002,100,5,20,1000,map1.txt,0.0001,0.001
51,-0.04,100,5,20,1000,map1.txt,0.0001,0.001
52,-0.13,100,5,20,1000,map1.txt,0.0001,0.001
53,-0.14,100,5,20,1000,map1.txt,0.0001,0.001
54,-0.14,100,5,20,1000,map1.txt,0.0001,0.001
55,-0.08,100,5,20,1000,map1.txt,0.0001,0.001
56,-0.04,100,5,20,1000,map1.txt,0.0001,0.001
57,-0.05,100,5,20,1000,map1.txt,0.0001,0.001
58,-0.09999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
59,-0.05,100,5,20,1000,map1.txt,0.0001,0.001
60,-0.15,100,5,20,1000,map1.txt,0.0001,0.001
61,-0.11000000000000001,100,5,20,1000,map1.txt,0.0001,0.001
62,-0.07,100,5,20,1000,map1.txt,0.0001,0.001
63,-0.1,100,5,20,1000,map1.txt,0.0001,0.001
64,-0.07,100,5,20,1000,map1.txt,0.0001,0.001
65,-0.11,100,5,20,1000,map1.txt,0.0001,0.001
66,-0.09,100,5,20,1000,map1.txt,0.0001,0.001
67,-0.08999999999999998,100,5,20,1000,map1.txt,0.0001,0.001
